name,path,emotion,text
33_sadness_disgust_d_080,sadness_disgust_33/33_sadness_disgust_d_080.wav,disgust,"Не смеши меня, ладно? Ты уже поддался? Ну вот я вижу, что не без того."
50_enthusiasm_sadness_s_020,enthusiasm_sadness_50/50_enthusiasm_sadness_s_020.wav,sadness,"Уж не вы ли это, Вячеслав-то, Юрьевич, будете?"
11_anger_disgust d_100,11_disgust_anger/11_anger_disgust d_100.wav,disgust,Да ты меня и смущаешь!
19_anger_disgust_a_140,anger_disgust_19/19_anger_disgust_a_140.wav,anger,Как это я заказала? Фартук с голой бабой? Ты чё вообще там?
50_enthusiasm_sadness_e_060,enthusiasm_sadness_50/50_enthusiasm_sadness_e_060.wav,enthusiasm,"Странно, я ему говорил забывчивый такой. Наверное, не записал к себе в книжку. Скажи, а книжка была при нём?"
19_anger_disgust_a_070,anger_disgust_19/19_anger_disgust_a_070.wav,anger,Я ничего не знаю! Верните мне мои деньги!
43_enthusiasm_neutral_n_090,enthusiasm_neutral_43/43_enthusiasm_neutral_n_090.wav,neutral,Смен 12 по 8 часов.
16_sadness_disgust_d_010,sadness_disgust_16/16_sadness_disgust_d_010.wav,disgust,Снова об этом. Зачем ты постоянно поднимаешь этот разговор?
25_anger_disgust_d_020,anger_disgust_25/25_anger_disgust_d_020.wav,disgust,"Нет, что вы, я не хочу приобретать недвижимость. Я хочу получить с вас долг. Это финансовая компания Васин ИК."
34_anger_fear_f_110,anger_fear_34/34_anger_fear_f_110.wav,fear,Вперёд! Ехала в... вы из угла выехали.
08_sadness_anger a_140,08_sadness_anger/08_sadness_anger a_140.wav,anger,"И да, мне нужно конечно добавить, вам самой доплатить до той квартиры, которую вы хотите."
39_sadness_anger_a_050,sadness_anger_39/39_sadness_anger_a_050.wav,anger,"Толку от того, что мы приедем?"
36_disgust_happiness_h_100,disgust_happiness_36/36_disgust_happiness_h_100.wav,happiness,"А мне друг мой сказал, что вообще кайфово."
40_enthusiasm_fear_e_150,enthusiasm_fear_40/40_enthusiasm_fear_e_150.wav,enthusiasm,"Представляешь, как это интересно!"
14_anger_fear_f_040,anger_fear_14/14_anger_fear_f_040.wav,fear,Я не знаю. Я постараюсь всё исправить.
08_sadness_anger s_090,08_sadness_anger/08_sadness_anger s_090.wav,sadness,"В нашем городе, конечно. В нашем городе, конечно."
48_fear_disgust_d_100,fear_disgust_48/48_fear_disgust_d_100.wav,disgust,"Это современные тренды. Ну что ты, вот это советское смотреть. Да ну успокойся. Сейчас все дети смотрят. Вон 13 пубертатный период, предпубертатный. Они все смотрят. Кровища какие."
02_anger_sadness a_044,02_anger_sadness/02_anger_sadness a_044.wav,anger,"Речь идет о твоем месте в нашей фирме. Ты и должен понять, на него есть претендент."
24_sadness_enthusiasm_e_060,sadness_enthusiasm_24/24_sadness_enthusiasm_e_060.wav,enthusiasm,"И что, ими реально так друг друга хлистают?"
39_sadness_anger_a_060,sadness_anger_39/39_sadness_anger_a_060.wav,anger,"Женщина, хватит истерить! Мёртвые не воскреснут!"
29_happiness_fear_f_170,happiness_fear_29/29_happiness_fear_f_170.wav,fear,"Борщ, солянка, отрить, а что? Ну что такое? Что ещё? Компот, сок."
11_anger_disgust a_210,11_disgust_anger/11_anger_disgust a_210.wav,anger,"Да ничего страшного, я сидушку эту выкину, сожгу и новую куплю."
21_happiness_anger_h_130,happiness_anger_21/21_happiness_anger_h_130.wav,happiness,"Эскалоп из свинины, кофе без сахара и тирамису. Правильно?"
38_happiness_neutral_h_030,happiness_neutral_38/38_happiness_neutral_h_030.wav,happiness,"Да, на рулевую рейку, но не простую рулевую рейку, а рулевую рейку производства фирмы Hitachi по спецзаказу."
22_fear_anger_f_090,fear_anger_22/22_fear_anger_f_090.wav,fear,"Вот! Я уже дорожный стак проехала, этот кирпич! Ничего страшного, гаишников рядом нет. Да, если уж остановят, то будет штраф."
27_neutral_fear_f_010,neutral_fear_27/27_neutral_fear_f_010.wav,fear,"Валерий Владимирович, я, честно говоря, даже не догадываюсь, но я же хорошо работаю."
04_fear_enthusiasm f_120,04_fear_enthusiasm/04_fear_enthusiasm f_120.wav,fear,"Да, конечно, вон на самом дне коробки. Держите его, забирайте."
26_enthusiasm_happiness_h_070,enthusiasm_happiness_26/26_enthusiasm_happiness_h_070.wav,happiness,"Африку север, или юг, или запад, или восток."
07_fear_neutral n_040,07_fear_neutral/07_fear_neutral n_040.wav,neutral,"Да, вы не правы, но всё будет хорошо."
42_anger_fear_a_052,anger_fear_42/42_anger_fear_a_052.wav,anger,Вставайте идти на работу!
44_neutral_anger_n_110,neutral_anger_44/44_neutral_anger_n_110.wav,neutral,Я не могу принять эту купюру
14_anger_fear_f_050,anger_fear_14/14_anger_fear_f_050.wav,fear,У меня просто больше нет работ.
20_disgust_enthusiasm_e_102,disgust_enthusiasm_20/20_disgust_enthusiasm_e_102.wav,enthusiasm,"Я думаю, у него с этим нет проблем"
17_neutral_disgust_n_120,neutral_disgust_17/17_neutral_disgust_n_120.wav,neutral,с помощью приложения вы сможете настроить необходимое вам количество гигабайт и минут всего за две с половиной тысячи в месяц
46_sadness_disgust_s_040,sadness_disgust_46/46_sadness_disgust_s_040.wav,sadness,"Ну вот какая-то женщина, у неё тоже дети, она за своими детьми-то не может посмотреть."
11_anger_disgust a_050,11_disgust_anger/11_anger_disgust a_050.wav,anger,"Да, видел. И хотелось бы небольшой торг."
17_neutral_disgust_d_110,neutral_disgust_17/17_neutral_disgust_d_110.wav,disgust,"Да вы что, каким образом вы можете мне предложить настроить мой тариф с максимальной... Это с какой максимальной-то вообще выгодой?"
32_happiness_enthusiasm_e_070,happiness_enthusiasm_32/32_happiness_enthusiasm_e_070.wav,enthusiasm,А если в театр тогда? Что в театре нужно?
23_happiness_neutral_n_080,happiness_neutral_23/23_happiness_neutral_n_080.wav,neutral,естественно хочу
27_neutral_fear_f_080,neutral_fear_27/27_neutral_fear_f_080.wav,fear,"У меня есть любимые внуки. И если я останусь без работы, то я буду очень счастлива."
32_happiness_enthusiasm_h_071,happiness_enthusiasm_32/32_happiness_enthusiasm_h_071.wav,happiness,"А, я думала, сперва что ты приглашаешь сходить в театр, все вместе, всё, поняла, поняла. Вот думаю, стойки, может быть, миксер."
35_neutral_fear_n_040,neutral_fear_35/35_neutral_fear_n_040.wav,neutral,"— Возьмите себя. Сколько вам лет, где вы работаете. Вообще рассказывайте всё, что считаете нужно."
45_happiness_sadness_s_040,happiness_sadness_45/45_happiness_sadness_s_040.wav,sadness,Это последние были деньги!
13_neutral_enthusiasm_e_041,neutral_enthusiasm_13/13_neutral_enthusiasm_e_041.wav,enthusiasm,"Полный безлимит, да? А скажите, пожалуйста, вот мне бы хотелось, чтобы наравне с моим прошлым тарифом при этом..."
11_anger_disgust a_150,11_disgust_anger/11_anger_disgust a_150.wav,anger,"Да, есть люди, которые любят на машинах кататься, ну и что? Я люблю велосипеды, я эгоист, что мне нельзя, что мне позволять себе велосипед? Я не понял."
06_happiness_enthusiasm e_020,06_happiness_enthusiasm/06_happiness_enthusiasm e_020.wav,enthusiasm,"Это здорово! Давай прогуляемся в парке, и ты мне об этом подробнее расскажешь."
35_neutral_fear_f_064,neutral_fear_35/35_neutral_fear_f_064.wav,fear,"Ну, я, ну, понимаю, может быть, уставшая была на работе, тоже с детьми бывает тяжело."
20_disgust_enthusiasm_e_110,disgust_enthusiasm_20/20_disgust_enthusiasm_e_110.wav,enthusiasm,"Я знаю, с кем связалась, но я не собиралась связываться с вами Я думала, что мы с Валерием все решим Но пока одну ночь соскучилась Без по Nah Ой, не 통у"
34_anger_fear_a_170,anger_fear_34/34_anger_fear_a_170.wav,anger,"Я просто смотрю на такую машину, страховку не дают."
47_enthusiasm_sadness_s_091,enthusiasm_sadness_47/47_enthusiasm_sadness_s_091.wav,sadness,Я бы хотел сравнить их между собой.
47_enthusiasm_sadness_e_020,enthusiasm_sadness_47/47_enthusiasm_sadness_e_020.wav,enthusiasm,"Ну какие марки телевизоров вы предпочитаете? Вот смотрите, у нас есть Philips, Sony, Panasonic."
03_disgust_neutral d_052,03_disgust_neutral/03_disgust_neutral d_052.wav,disgust,"Но вы, как директор школы, должны прям вот быть заинтересованы в каждом ученике. А у вас получается, что чуть ли моего сына сейчас не выгнать готовы?"
35_neutral_fear_f_063,neutral_fear_35/35_neutral_fear_f_063.wav,fear,"Нада мной стой, я не знаю, померещалась та ми, ну, кад будь-табы она нада мной стой, над кровачью прямо, и смотрит на меня."
34_anger_fear_f_060,anger_fear_34/34_anger_fear_f_060.wav,fear,"Это не я ехала назад, вы вперёд. Я вперёд ехала, а вы назад."
16_sadness_disgust_d_030,sadness_disgust_16/16_sadness_disgust_d_030.wav,disgust,"Я никогда не любил детей, ты это знаешь. Потому что это вечно крики, запах. Это не самое лучшее, с чем может столкнуться человек, хотя казалось бы, все мы были детьми, но нет. Я не хочу заводить ребенка."
05_neutral_fear n_050,05_neutral_fear/05_neutral_fear n_050.wav,neutral,"Нет, не видела. Холодно. Одел парень капюшон. Что здесь такого? Сейчас приедет автобус и поедем."
06_happiness_enthusiasm h_020,06_happiness_enthusiasm/06_happiness_enthusiasm h_020.wav,happiness,"Ты знаешь, у меня такое радостное событие, я нашла себе новую работу, и мне сразу предложили такую хорошую должность."
36_disgust_happiness_d_100,disgust_happiness_36/36_disgust_happiness_d_100.wav,disgust,"Да на этом паровозе ничего уже не тянет, ни карты, ни процессоры."
04_fear_enthusiasm e_030,04_fear_enthusiasm/04_fear_enthusiasm e_030.wav,enthusiasm,"Давайте откроем, посмотрим."
14_anger_fear_a_050,anger_fear_14/14_anger_fear_a_050.wav,anger,"Да, а что мне остается делать?"
33_sadness_disgust_s_040,sadness_disgust_33/33_sadness_disgust_s_040.wav,sadness,А ты хочешь к Петрову что ли?
43_enthusiasm_neutral_n_160,enthusiasm_neutral_43/43_enthusiasm_neutral_n_160.wav,neutral,"Продаем всё. Если вас эта вакансия не устраивает, у нас есть ещё вакансия уборщицы. Могу вам это предложить, это можно без опыта."
45_happiness_sadness_h_050,happiness_sadness_45/45_happiness_sadness_h_050.wav,happiness,процентов там 10 20 10 сверху ты не вернешься
42_anger_fear_a_200,anger_fear_42/42_anger_fear_a_200.wav,anger,"Всё, я буду звонить в органы опеки."
40_enthusiasm_fear_e_080,enthusiasm_fear_40/40_enthusiasm_fear_e_080.wav,enthusiasm,"Скажи, пожалуйста, а я не знаю, вообще при беге как-то учитывается там перекуры там на питьё, что-нибудь эти минуты вообще учитываются?"
37_enthusiasm_neutral_e_110,enthusiasm_neutral_37/37_enthusiasm_neutral_e_110.wav,enthusiasm,"Нет, нет, Анастасия, машина не сломана."
47_enthusiasm_sadness_e_090,enthusiasm_sadness_47/47_enthusiasm_sadness_e_090.wav,enthusiasm,"Если вы хотите себе домашний кинотеатр, я думаю, что вот такого телевизора вам вполне размера будет достаточно. Посмотрите внимательно. А вот рядом модель есть Philips. Аналогичный, дешевле, но с теми же функциями."
14_anger_fear_a_030,anger_fear_14/14_anger_fear_a_030.wav,anger,"Да как так можно было ошибиться? Вы, по-моему, полностью перепутали заказы. Это вообще недопустимо. Я рассчитывала, что сейчас мне придут продукты. На борщ!"
19_anger_disgust_a_110,anger_disgust_19/19_anger_disgust_a_110.wav,anger,Я ничего не знаю! Давай мне... Кто у вас есть? Менеджера давай сюда!
18_happiness_neutral_n_020,happiness_neutral_18/18_happiness_neutral_n_020.wav,neutral,"Да я не кислый, я нормальный, а всё такое весёлое."
18_happiness_neutral_n_110,happiness_neutral_18/18_happiness_neutral_n_110.wav,neutral,Но это здорово. Хороший педагог. Хорошо учит.
17_neutral_disgust_n_010,neutral_disgust_17/17_neutral_disgust_n_010.wav,neutral,Alo
42_anger_fear_f_160,anger_fear_42/42_anger_fear_f_160.wav,fear,"Послушайте, это не зависит от меня. Это ребенок. Он маленькое, неконтролируемое существо."
13_neutral_enthusiasm_e_053,neutral_enthusiasm_13/13_neutral_enthusiasm_e_053.wav,enthusiasm,"из области и езжу или в Москву или на море, чтобы вы могли посоветовать."
33_sadness_disgust_s_090,sadness_disgust_33/33_sadness_disgust_s_090.wav,sadness,Что с тобой случилось?
32_happiness_enthusiasm_e_090,happiness_enthusiasm_32/32_happiness_enthusiasm_e_090.wav,enthusiasm,"А ты точно всё стёрла? Может там нолика не хватает? И там не пять тысяч, а пятьдесят?"
31_fear_enthusiasm_f_102,fear_enthusiasm_31/31_fear_enthusiasm_f_102.wav,fear,Я ходила из угла в угол. Я не могла найти себе место. Я каждые пять минут набирала твой номер.
15_enthusiasm_sadness_e_062,enthusiasm_sadness_15/15_enthusiasm_sadness_e_062.wav,enthusiasm,"И мы направим вас на экзамен, вы получите сертификат и можете с чистой совестью ехать, куда вам нужно."
03_disgust_neutral d_080,03_disgust_neutral/03_disgust_neutral d_080.wav,disgust,"Да у вас всегда финансирование недостаточно. Это проблема всех муниципальных школ. Значит, изыскивайте деньги."
07_fear_neutral f_100,07_fear_neutral/07_fear_neutral f_100.wav,fear,"Знаете, первый раз такое. На людей не налетал."
20_disgust_enthusiasm_e_020,disgust_enthusiasm_20/20_disgust_enthusiasm_e_020.wav,enthusiasm,"Нет, это вы."
43_enthusiasm_neutral_n_020,enthusiasm_neutral_43/43_enthusiasm_neutral_n_020.wav,neutral,"Продать ветвь с косир хорошо, а у вас есть опыт работы?"
18_happiness_neutral_h_170,happiness_neutral_18/18_happiness_neutral_h_170.wav,happiness,"Скорее всего, музыкальный. Там очень много творческих людей."
28_disgust_enthusiasm_d_120,disgust_enthusiasm_28/28_disgust_enthusiasm_d_120.wav,disgust,"На этом станке можно делать только прямые линии, а скривленные и нескривленные, это как вам инженеры скажут. Вот так и будете делать."
42_anger_fear_a_020,anger_fear_42/42_anger_fear_a_020.wav,anger,"Во-первых, не ты, а вы. Потому что твой ребёнок..."
27_neutral_fear_f_020,neutral_fear_27/27_neutral_fear_f_020.wav,fear,"Нет, я не знаю"
24_sadness_enthusiasm_e_130,sadness_enthusiasm_24/24_sadness_enthusiasm_e_130.wav,enthusiasm,"Эх, я бы ещё чего-нибудь интересного попробовал."
06_happiness_enthusiasm e_040,06_happiness_enthusiasm/06_happiness_enthusiasm e_040.wav,enthusiasm,"Интересно, а что за фирма? Ты будешь рекламировать и продвигать одежду, какие-то автозапчасти или что-то еще подобное?"
12_sadness_disgust_d_010,sadness_disgust_12/12_sadness_disgust_d_010.wav,disgust,"Да, это Гольга Ивановна. Кто это?"
08_sadness_anger a_030,08_sadness_anger/08_sadness_anger a_030.wav,anger,Вы мне это говорили полгода назад!
29_happiness_fear_f_030,happiness_fear_29/29_happiness_fear_f_030.wav,fear,"Я тоже очень-очень рада. Я боялась, что я не туда."
09_neutral_happiness h_030,09_neutral_happiness/09_neutral_happiness h_030.wav,happiness,"Я уже достаточно давно этого ждал и очень рад, что наконец-таки всё закончилось. Давайте пройдём посмотрим."
08_sadness_anger a_160,08_sadness_anger/08_sadness_anger a_160.wav,anger,да сколько вам объяснять значит это будет не центр вы не понимаете
42_anger_fear_f_060,anger_fear_42/42_anger_fear_f_060.wav,fear,"У меня ребёнок гиперактивен, ему..."
21_happiness_anger_h_100,happiness_anger_21/21_happiness_anger_h_100.wav,happiness,"А может, вам еще чего-нибудь?"
38_happiness_neutral_n_090,happiness_neutral_38/38_happiness_neutral_n_090.wav,neutral,"Отлично! Сейчас я всё зафиксирую, и мы с вами закончим наш разговор."
22_fear_anger_a_140,fear_anger_22/22_fear_anger_a_140.wav,anger,"Нету. Знала бы, лучше бы пошла и отучилась. Не было бы проблем таких. Сама бы села за руль и повесила меня."
02_anger_sadness a_053,02_anger_sadness/02_anger_sadness a_053.wav,anger,"И смотри, если я услышу, что ты занимался не бумагами, тебе не поздоровиться. Вылетишь с работы быстрее скорости звука."
37_enthusiasm_neutral_e_010,enthusiasm_neutral_37/37_enthusiasm_neutral_e_010.wav,enthusiasm,"О, симпатичная девушка! Проходите, проходите сюда, присаживайтесь. Я инструктор, меня зовут Сергей. А как вас зовут?"
20_disgust_enthusiasm_d_050,disgust_enthusiasm_20/20_disgust_enthusiasm_d_050.wav,disgust,"Давай рассказывай, давно ли это у вас связь?"
29_happiness_fear_f_110,happiness_fear_29/29_happiness_fear_f_110.wav,fear,"Ну что вы меня ртите? Мне лендл не нужен, пожалуйста мне..."
28_disgust_enthusiasm_e_110,disgust_enthusiasm_28/28_disgust_enthusiasm_e_110.wav,enthusiasm,"Ага, то есть тут есть еще инженеры."
42_anger_fear_a_100,anger_fear_42/42_anger_fear_a_100.wav,anger,Сами надевайте свои беруши!
07_fear_neutral n_010,07_fear_neutral/07_fear_neutral n_010.wav,neutral,"Да, со мной всё хорошо."
46_sadness_disgust_d_050,sadness_disgust_46/46_sadness_disgust_d_050.wav,disgust,"А кто их будет воспитывать, извините меня? Кто их должен воспитывать? Вот вы говорите, родители не воспитаны. Хорошо. А где тогда их воспитывают?"
23_happiness_neutral_n_170,happiness_neutral_23/23_happiness_neutral_n_170.wav,neutral,Поэтому он самый счастливый.
33_sadness_disgust_s_070,sadness_disgust_33/33_sadness_disgust_s_070.wav,sadness,"Я пришёл сюда не ради концерта, а ради тебя."
50_enthusiasm_sadness_s_030,enthusiasm_sadness_50/50_enthusiasm_sadness_s_030.wav,sadness,"Да что-то на вас всё показывали и говорили, что вроде бы Вячеслав Юрьевич метит на моё место. Он прямо так и сказал, Вячеслав Юрьевич. И что-то хочешь."
22_fear_anger_f_060,fear_anger_22/22_fear_anger_f_060.wav,fear,"Да, вдруг что-то случится в дороге! Да ничего не случится!"
19_anger_disgust_d_080,anger_disgust_19/19_anger_disgust_d_080.wav,disgust,"К сожалению, это невозможно. В договоре все прописано."
10_happiness_anger a_050,10_happiness_anger/10_happiness_anger a_050.wav,anger,Да потому что это несправедливо!
22_fear_anger_a_110,fear_anger_22/22_fear_anger_a_110.wav,anger,"Хорошо, давай отдохнём. Давай, тогда на обочину. Ну давай, на обочину отдохнём."
33_sadness_disgust_d_100,sadness_disgust_33/33_sadness_disgust_d_100.wav,disgust,"Не надо на меня так смотреть. Какая разница, захотела и не села. Я села за тот стол, на котором карточка с моей фамилией. Какая тебе разница?"
33_sadness_disgust_d_130,sadness_disgust_33/33_sadness_disgust_d_130.wav,disgust,"А ты еще хуже Как вспомню трясет, у меня трясти просто начинает"
23_happiness_neutral_h_090,happiness_neutral_23/23_happiness_neutral_h_090.wav,happiness,"Слушай, тогда мы с тобой подготовим арию. Вставную!"
03_disgust_neutral n_082,03_disgust_neutral/03_disgust_neutral n_082.wav,neutral,"А что касается разбитого стекла, то простите, это уже порча имущества."
27_neutral_fear_n_120,neutral_fear_27/27_neutral_fear_n_120.wav,neutral,"Ну как, ну у вас же есть внуки и вообще много чего есть интересного. Сериалы будете смотреть по телевизору."
05_neutral_fear f_020,05_neutral_fear/05_neutral_fear f_020.wav,fear,"Слушай, уже так темно, я потом как мне идти домой одной, я вообще не знаю."
17_neutral_disgust_d_030,neutral_disgust_17/17_neutral_disgust_d_030.wav,disgust,"Да, мне удобно говорить, кто мне звонит. Пожалуйста, представьтесь."
18_happiness_neutral_n_150,happiness_neutral_18/18_happiness_neutral_n_150.wav,neutral,"Но они быстро пролетят, ты даже не заметишь."
15_enthusiasm_sadness_s_032,enthusiasm_sadness_15/15_enthusiasm_sadness_s_032.wav,sadness,"Жене моей дали работу за границей. С собой тянет, говорит, без английского никуда. Не хочу я его учить, мне языки никогда не давались, потому что, не знаю..."
11_anger_disgust d_180,11_disgust_anger/11_anger_disgust d_180.wav,disgust,на этого велосипеда.
07_fear_neutral n_130,07_fear_neutral/07_fear_neutral n_130.wav,neutral,"Ничего, сейчас поедем в больницу, там меня перевяжут, всё будет хорошо."
44_neutral_anger_n_080,neutral_anger_44/44_neutral_anger_n_080.wav,neutral,"Позвоните, но только отойдите, пожалуйста."
16_sadness_disgust_d_020,sadness_disgust_16/16_sadness_disgust_d_020.wav,disgust,Тебе меня недостаточно? Зачем тебе ещё и ребёнок? Зачем тебе все эти дополнительные сложности? Как будто сейчас у нас всё хорошо и достаточно денег на жизнь.
41_fear_disgust_d_020,fear_disgust_41/41_fear_disgust_d_020.wav,disgust,"Да ну этого препа, да он обычный, такой же как все. Приходишь к нему, ну, пришел, посмотрел в глаза, сказал то, что ему надо, и пошел домой дальше по своим делам."
42_anger_fear_a_070,anger_fear_42/42_anger_fear_a_070.wav,anger,А вы беспокойные!
40_enthusiasm_fear_f_040,enthusiasm_fear_40/40_enthusiasm_fear_f_040.wav,fear,"И мне кажется, что я перед ним просто рабею."
38_happiness_neutral_n_040,happiness_neutral_38/38_happiness_neutral_n_040.wav,neutral,"Прекрасно. А значная стоимость доставки только в том случае, если вы у нас застрахуете свой товар."
12_sadness_disgust_s_090,sadness_disgust_12/12_sadness_disgust_s_090.wav,sadness,"Нет-нет-нет, подождите. Давайте всё-таки договоримся. Вот я хочу, чтобы мой сын ходил на дополнительные занятия, чем он хуже остальных учеников."
40_enthusiasm_fear_f_140,enthusiasm_fear_40/40_enthusiasm_fear_f_140.wav,fear,"Бег на мину, наверное, будет проще."
36_disgust_happiness_h_020,disgust_happiness_36/36_disgust_happiness_h_020.wav,happiness,"Ну так вот, я купила компьютер себе, был у него там пятый..."
32_happiness_enthusiasm_h_040,happiness_enthusiasm_32/32_happiness_enthusiasm_h_040.wav,happiness,"На какое жалела! И теперь думает, куда потратить!"
23_happiness_neutral_h_060,happiness_neutral_23/23_happiness_neutral_h_060.wav,happiness,"Ну как же? Я только так тебе и представляю! На сцене! Представляешь, будет твой день рождения, будет спектакль, и ты выйдешь на сцену!"
23_happiness_neutral_h_120,happiness_neutral_23/23_happiness_neutral_h_120.wav,happiness,Глупости. Ты просто должна в себя поверить.
03_disgust_neutral n_070,03_disgust_neutral/03_disgust_neutral n_070.wav,neutral,"Но родители в первую очередь заинтересованы в том, чтобы школа получала лучшее. А кто даст детям лучшее, чем не их родители?"
07_fear_neutral n_090,07_fear_neutral/07_fear_neutral n_090.wav,neutral,"Нет, у меня ничего не болит, но, наверное, нужно перевязать."
18_happiness_neutral_n_100,happiness_neutral_18/18_happiness_neutral_n_100.wav,neutral,"Это замечательно. Ты смотрела, какие у тебя будут педагоги?"
21_happiness_anger_a_140,happiness_anger_21/21_happiness_anger_a_140.wav,anger,"Правильно! Идите уже и несите мой заказ. Принесите кофе сначала и остальное не задерживайте. Я очень спешу, девушка!"
